Style Name;Primary Color;Accent Color;Background Color;Heading Font;Body Font;Style Definition;Illustration Motif;Graphic Execution;Rationale;Theme Mode;Secondary Text Color;Card Background Color;Card Border Color;Border Radius
Executive Landscape (Boardroom Strategy);#0033A1;#A16207;#F8FAFC;Poppins;Open Sans;High-level, premium visual style focusing on market vision, risk reduction, and executive-level identity metrics.;Mountain peaks, high-level strategic compasses, giant metric readouts, wide-angle horizons.;Premium high-impact photography combined with sleek UI overlays, dramatic spotlighting, expansive negative space.;Replaces abstract vectors with premium photography and dramatic lighting to focus purely on high-altitude executive vision.;light;#475569;#ffffff;#f1f5f9;rounded-lg
Core Minimalist (General Purpose);#0F172A;#0071CE;#FFFFFF;Inter;Inter;Versatile, direct, and universally applicable design emphasizing clean whitespace and straightforward messaging.;Simplified SaaS UI blocks, isolated key objects, fundamental geometric shapes.;Ultra-clean wireframe art, highly simplified 2D flat vectors, zero decorative background elements, vast white space.;Provides a neutral, distraction-free baseline for any topic, focusing entirely on clean typography and simple geometry.;light;#334155;#f8fafc;#e2e8f0;rounded-md
Holographic Product Demo (Showcase);#f8fafc;#0891B2;#0F0F23;Space Grotesk;DM Sans;Feature-focused aesthetic designed for embedded walkthroughs, emphasizing interactive software states.;Application interface wireframes, magnified active cursors, sequential process steps.;Holographic graphic style, high-fidelity SaaS UI mockups glowing over dark layers, neon aqua indicators for interactive points.;Adopts a futuristic glowing UI execution to clearly differentiate active product demonstrations from static architectural charts.;dark;#94a3b8;#18182f;#1e293b;rounded-xl
Kinetic Keynote (Event & Vision);#0033A1;#2563EB;#F0F3F6;Plus Jakarta Sans;Plus Jakarta Sans;High-energy, engaging presentation style designed for large audiences, focusing on momentum and forward progress.;Flowing energy lines, directional arrows, dynamic abstract waves, sweeping global curves.;Smooth mesh gradients, implied motion graphics, sweeping translucent shapes with soft overlapping color blends.;Uses sweeping gradients and motion-implied shapes to create an energetic backdrop for major announcements.;light;#4b5563;#ffffff;#e2e8f0;rounded-2xl
Internal Comms (HR & Culture);#0033A1;#059669;#F8FAFC;Lexend;Source Sans 3;Friendly, human-first aesthetic designed to communicate company updates, training, and cultural initiatives.;Organic community clusters, smiling diverse avatars, communication speech bubbles, collaborative hands.;Hand-drawn or highly stylized vector illustrations, friendly thick welcoming strokes, warm accent colors, rounded organic borders.;Strips away the technical rigidity of standard tech branding, opting for a soft, approachable, human-focused illustrative style.;light;#334155;#ffffff;#e2e8f0;rounded-3xl
Marketing Conversion (Sales);#0F172A;#EA580C;#FAFAFA;Poppins;Open Sans;Highly focused, persuasive layout designed to drive audience action, emphasizing ROI and success metrics.;Target reticles, upward growth charts, physical funnels, bold success checkmarks.;High-contrast flat design forcing attention to focal points using the accent orange, stark directional visual cues, minimal background distraction.;Highly focused visual layout employing literal funnel and target iconography with stark contrast to aggressively drive action.;light;#334155;#ffffff;#e5e7eb;rounded-xl
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
